agent,iteration,layer1,layer2,decision, payoff, norm or self, change
agent090,1,33,39,33,33.0,self,3
agent091,1,35,41,35,35.0,self,2
agent092,1,28,20,28,28.0,self,1
agent093,1,39,20,39,39.0,self,3
agent094,1,36,20,36,36.0,self,1
agent095,1,39,20,39,39.0,self,1
agent096,1,27,18,27,27.0,self,2
agent097,1,45,20,45,45.0,self,3
agent098,1,34,39,34,34.0,self,3
agent099,1,16,26,16,16.0,self,1
agent09a,1,26,16,26,26.0,self,3
agent09b,1,12,9,12,12.0,self,3
agent09c,1,40,34,40,40.0,self,1
agent09d,1,44,41,44,44.0,self,2
agent09e,1,18,21,18,18.0,self,3
agent09f,1,3,6,3,3.0,self,1
agent0a0,1,42,26,42,42.0,self,3
agent0a1,1,28,18,28,28.0,self,1
agent0a2,1,4,20,4,4.0,self,1
agent0a3,1,44,20,44,44.0,self,2
agent0a4,1,36,39,36,36.0,self,1
agent0a5,1,40,20,40,40.0,self,1
agent0a6,1,30,28,30,30.0,self,1
agent0a7,1,43,39,43,43.0,self,2
agent0a8,1,35,36,35,35.0,self,2
agent0a9,1,41,24,41,41.0,self,2
agent0aa,1,36,28,36,36.0,self,2
agent0ab,1,5,6,5,5.0,self,2
agent0ac,1,24,18,24,24.0,self,2
agent0ad,1,22,6,22,22.0,self,2
agent0ae,1,36,42,36,36.0,self,3
agent0af,1,43,41,43,43.0,self,3
agent0b0,1,45,26,45,45.0,self,3
agent0b1,1,20,28,20,20.0,self,3
agent0b2,1,20,12,20,20.0,self,1
agent0b3,1,9,39,9,9.0,self,1
agent0b4,1,23,18,23,23.0,self,1
agent0b5,1,31,18,31,31.0,self,1
agent0b6,1,41,28,41,41.0,self,1
agent0b7,1,17,22,17,17.0,self,1
agent0b8,1,8,20,8,8.0,self,2
agent0b9,1,31,18,31,31.0,self,3
agent0ba,1,20,34,20,20.0,self,2
agent0bb,1,30,16,30,30.0,self,2
agent0bc,1,5,20,5,5.0,self,2
agent0bd,1,4,22,4,4.0,self,1
agent0be,1,19,18,19,19.0,self,2
agent0bf,1,42,41,42,42.0,self,1
agent0c0,1,41,41,41,41.0,self,2
agent0c1,1,42,28,42,42.0,self,2
agent0c2,1,37,18,37,37.0,self,3
agent0c3,1,26,36,26,26.0,self,1
agent0c4,1,41,20,41,41.0,self,1
agent0c5,1,28,37,28,28.0,self,1
agent0c6,1,24,6,24,24.0,self,2
agent0c7,1,18,28,18,18.0,self,3
agent000,2,32,21,32,32.0,self,3
agent001,2,39,21,39,39.0,self,3
agent002,2,7,39,7,7.0,self,1
agent003,2,25,18,25,25.0,self,1
agent004,2,29,10,29,29.0,self,3
agent005,2,20,29,20,20.0,self,1
agent006,2,7,29,7,7.0,self,1
agent007,2,31,29,31,31.0,self,1
agent008,2,17,42,17,17.0,self,3
agent009,2,40,24,40,40.0,self,1
agent00a,2,33,21,33,33.0,self,1
agent00b,2,43,22,43,43.0,self,2
agent00c,2,8,24,8,8.0,self,1
agent00d,2,24,22,24,24.0,self,2
agent00e,2,38,43,38,38.0,self,3
agent00f,2,23,31,23,23.0,self,2
agent010,2,45,29,45,45.0,self,3
agent011,2,26,20,26,26.0,self,1
agent012,2,17,7,17,17.0,self,2
agent013,2,35,21,35,35.0,self,1
agent014,2,16,29,16,16.0,self,3
agent015,2,34,4,34,34.0,self,3
agent016,2,40,21,40,40.0,self,1
agent017,2,11,31,11,11.0,self,3
agent018,2,22,10,22,22.0,self,2
agent019,2,31,21,31,31.0,self,2
agent01a,2,24,43,24,24.0,self,3
agent01b,2,31,14,31,31.0,self,3
agent01c,2,25,29,25,25.0,self,1
agent01d,2,35,18,35,35.0,self,3
agent01e,2,23,21,23,23.0,self,2
agent01f,2,14,35,14,14.0,self,2
agent020,2,20,43,20,20.0,self,2
agent021,2,15,31,15,15.0,self,3
agent022,2,21,21,21,21.0,self,3
agent023,2,35,17,35,35.0,self,1
agent024,2,15,7,15,15.0,self,1
agent025,2,4,24,4,4.0,self,1
agent026,2,10,21,10,10.0,self,2
agent027,2,20,21,20,20.0,self,2
